well,target,curve,ct,quantity,quantity_update
A01,N1,N1_1,24.32166515,4000,10000
A02,N1,N1_1,23.99280533,4000,10000
A03,N1,N1_1,23.70858959,4000,10000
C01,N1,N1_1,26.59985261,400,1000
C02,N1,N1_1,26.569952,400,1000
C03,N1,N1_1,26.49902061,400,1000
E01,N1,N1_1,29.68890626,40,100
E02,N1,N1_1,29.33114825,40,100
E03,N1,N1_1,29.43170752,40,100
G01,N1,N1_1,32.71838816,4,10
G02,N1,N1_1,32.25766616,4,10
G03,N1,N1_1,31.83577135,4,10
I01,N1,N1_1,34.86199623,0.4,1
I02,N1,N1_1,35.66235771,0.4,1
I03,N1,N1_1,35.51777259,0.4,1
K01,N1,N1_1,NaN,0.04,0.1
K02,N1,N1_1,NaN,0.04,0.1
K03,N1,N1_1,NaN,0.04,0.1
M01,N1,N1_1,NaN,0.004,0.01
M02,N1,N1_1,NaN,0.004,0.01
M03,N1,N1_1,NaN,0.004,0.01
A09,N1,N1_2,25.86536782,800,2000
A10,N1,N1_2,25.7353958,800,2000
A11,N1,N1_2,25.65341264,800,2000
C09,N1,N1_2,28.06092585,160,400
C10,N1,N1_2,28.09699256,160,400
C11,N1,N1_2,28.0571221,160,400
E09,N1,N1_2,30.29910118,32,80
E10,N1,N1_2,30.32796545,32,80
E11,N1,N1_2,30.12849337,32,80
G09,N1,N1_2,32.86152492,6.4,16
G10,N1,N1_2,32.80554615,6.4,16
G11,N1,N1_2,33.01960821,6.4,16
A05,N2,N2_1,24.92291625,4000,10000
A06,N2,N2_1,25.20286291,4000,10000
A07,N2,N2_1,24.9124105,4000,10000
C05,N2,N2_1,27.96017193,400,1000
C06,N2,N2_1,28.11110948,400,1000
C07,N2,N2_1,27.77668394,400,1000
E05,N2,N2_1,30.38095799,40,100
E06,N2,N2_1,30.28670031,40,100
E07,N2,N2_1,30.18256714,40,100
G05,N2,N2_1,34.09318278,4,10
G06,N2,N2_1,33.85608537,4,10
G07,N2,N2_1,33.40722727,4,10
I05,N2,N2_1,37.87751118,0.4,1
I06,N2,N2_1,36.40497746,0.4,1
I07,N2,N2_1,36.22871469,0.4,1
K05,N2,N2_1,NaN,0.04,0.1
K06,N2,N2_1,NaN,0.04,0.1
K07,N2,N2_1,39.36225968,0.04,0.1
M05,N2,N2_1,NaN,0.004,0.01
M06,N2,N2_1,NaN,0.004,0.01
M07,N2,N2_1,NaN,0.004,0.01
I09,N2,N2_2,27.77790078,800,2000
I10,N2,N2_2,27.17386605,800,2000
I11,N2,N2_2,26.81761249,800,2000
K09,N2,N2_2,30.68285235,160,400
K10,N2,N2_2,30.39753161,160,400
K11,N2,N2_2,29.55859804,160,400
M09,N2,N2_2,31.57360453,32,80
M10,N2,N2_2,32.21262238,32,80
M11,N2,N2_2,31.38837744,32,80
O09,N2,N2_2,34.55087029,6.4,16
O10,N2,N2_2,33.63782024,6.4,16
O11,N2,N2_2,34.64059608,6.4,16